word,JJ-0,NN-0
campaign,0,1
bear,0,1
current,1,1
range,0,1
bad,1,0
strong,1,0
fall,0,1
minutes,0,0
winning,1,0
private,1,0
features,0,0
friends,0,0
decision,0,1
construction,0,1
media,0,1
whole,1,0
provide,0,0
cause,0,1
leading,1,0
changes,0,0
rules,0,0
southern,1,0
competition,0,1
programs,0,0
municipality,0,1
island,0,1
picture,0,1
river,0,1
native,1,0
followed,0,0
fight,0,1
modern,1,0
radio,0,1
stage,0,1
data,0,1
store,0,1
throughout,0,0
actually,0,0
performed,0,0
earlier,0,0
attack,0,1
professor,0,1
weeks,0,0
directed,1,0
draw,0,1
growing,1,0
course,0,1
floor,0,1
lived,0,0
board,0,1
morning,0,1
dog,0,1
writing,0,1
rest,0,1
hey,0,0
hair,0,1
anything,0,0
online,1,0
style,0,1
scored,0,0
ah,0,0
action,0,1
remained,0,0
performance,0,1
post,0,1
forces,0,0
placed,1,0
force,0,1
county,0,1
especially,0,0
woman,0,1
recently,0,0
loss,0,1
yellow,1,0
featured,1,0
bird,0,1
buildings,0,0
rather,0,0
completed,0,0
type,0,1
degree,0,1
higher,0,0
table,0,1
leader,0,1
reached,0,0
china,0,0
longer,0,0
re,0,0
awarded,1,0
push,0,1
tree,0,1
turned,0,0
researchers,0,0
museum,0,1
takes,0,0
plans,0,0
success,0,1
shot,0,1
sports,0,0
army,0,1
piece,0,1
aircraft,0,1
plays,0,0
bit,0,1
previous,1,0
minute,0,1
originally,0,0
leaders,0,0
oil,0,1
noted,1,0
genus,0,1
ship,0,1
create,0,0
cars,0,0
needs,0,0
movement,0,1
chair,0,1
fact,0,1
hands,0,0
buy,0,0
market,0,1
nation,0,1
disease,0,1
please,0,0
episode,0,1
americans,0,0
animal,0,1
um,0,0
fell,0,0
successful,1,0
related,1,0
artist,0,1
bed,0,1
issue,0,1
provided,0,0
milk,0,1
pick,0,1
listed,1,0
ran,0,0
everything,0,0
met,0,0
wow,0,0
deal,0,1
owned,1,0
western,1,0
miles,0,0
ended,1,0
movie,0,1
friend,0,1
cities,0,0
gold,1,1
word,0,1
active,1,0
attended,1,0
believe,0,0
hi,0,0
contract,0,1
closed,1,0
needed,1,0
learn,0,0
launched,1,0
chief,0,1
self,0,1
female,1,1
passed,0,0
regular,1,0
experience,0,1
door,0,1
quickly,0,0
size,0,1
issues,0,0
hear,0,0
increase,0,0
civil,1,0
lower,1,0
fast,1,0
evidence,0,1
senior,1,1
character,0,1
beginning,0,1
medical,1,0
places,0,0
traditional,1,0
northern,1,0
policy,0,1
mostly,0,0
upon,0,0
network,0,1
artists,0,0
attention,0,1
safety,0,1
interest,0,1
allow,0,0
author,0,1
tournament,0,1
stated,0,0
jobs,0,0
act,0,1
wide,1,0
length,0,1
previously,0,0
teachers,0,0
model,0,1
numbers,0,0
eating,1,0
studied,1,0
replaced,0,0
sound,1,0
goals,0,0
cat,0,1
raised,0,0
studio,0,1
write,0,0
street,0,1
matter,0,1
library,0,1
introduced,1,0
security,0,1
famous,1,0
cases,0,0
farm,0,1
practice,0,1
opening,0,1
collection,0,1
basketball,0,1
showed,0,0
moving,1,0
highest,0,0
cover,0,1
reach,0,0
eyes,0,0
certain,1,0
results,0,0
break,0,1
remains,0,0
meeting,0,1
magazine,0,1
writer,0,1
officer,0,1
starting,0,0
seat,0,1
stand,0,1
significant,1,0
ones,0,0
refer,0,0
legal,1,0
manager,0,1
bill,0,1
giving,0,0
truck,0,1
becoming,0,0
caused,0,0
words,0,0
teacher,0,1
expected,1,0
king,0,1
products,0,0
award,0,1
energy,0,1
hurt,1,0
difficult,1,0
section,0,1
access,0,1
star,0,1
hospital,0,1
via,0,0
billion,0,0
gets,0,0
vote,0,1
association,0,1
staff,0,1
horse,0,1
property,0,1
throw,0,1
capital,0,1
mouth,0,1
forced,1,0
base,0,1
finish,0,0
entire,1,0
trade,0,1
clear,1,0
singer,0,1
fun,1,1
surface,0,1
older,0,0
coast,0,1
sister,0,1
classes,0,0
someone,0,0
entered,0,0
computer,0,1
particularly,0,0
represented,1,0
uses,0,0
trees,0,0
thousands,0,0
tried,0,0
hello,0,0
culture,0,1
personal,1,0
systems,0,0
religious,1,0
individual,1,1
everyone,0,0
battle,0,1
hot,1,0
key,0,1
experts,0,0
continue,0,0
economic,1,0
discovered,0,0
laws,0,0
finally,0,0
hope,0,1
visit,0,1
york,0,0
overall,0,0
tour,0,1
ways,0,0
larger,0,0
date,0,1
letter,0,1
plants,0,0
nothing,0,0
mine,0,0
fighting,0,0
defeated,1,0
retired,1,0
ride,0,1
operations,0,0
society,0,1
reason,0,1
shown,0,0
medal,0,1
contains,0,0
cold,1,0
annual,1,0
films,0,0
happy,1,0
required,1,0
website,0,1
independent,1,0
rate,0,1
gas,0,1
thank,0,0
division,0,1
increased,1,0
boys,0,0
earth,0,1
selected,1,0
border,0,1
names,0,0
bridge,0,1
los,0,0
effect,0,1
activities,0,0
victory,0,1
hat,0,1
anti,0,0
meet,0,0
complete,1,0
primary,1,0
stories,0,0
grew,0,0
painting,0,0
earned,1,0
arrived,0,0
grow,0,0
dark,1,0
figure,0,1
limited,1,0
eastern,1,0
drink,0,1
serving,0,1
believed,0,0
youth,0,1
efforts,0,0
charge,0,1
funny,1,0
dogs,0,0
drive,0,1
despite,0,0
towards,0,0
covered,1,0
endemic,1,0
matches,0,0
ahead,0,0
km,0,0
officers,0,0
majority,0,1
share,0,0
cup,0,1
failed,1,0
leaving,0,0
gone,0,0
residents,0,0
question,0,1
huge,1,0
walk,0,1
engine,0,1
amount,0,1
pop,0,0
nearby,1,0
conditions,0,0
smaller,0,0
levels,0,0
troops,0,0
paid,0,0
council,0,1
bus,0,1
heart,0,1
generally,0,0
structure,0,1
understand,0,0
shall,0,0
global,1,0
true,1,0
felt,0,1
agency,0,1
route,0,1
offered,0,0
mountain,0,1
orange,1,1
ask,0,0
commercial,1,1
clean,1,0
treatment,0,1
heavy,1,0
phone,0,1
appearance,0,1
associated,1,0
relationship,0,1
kept,0,0
learning,0,0
particular,1,0
habitat,0,1
additional,1,0
foreign,1,0
toys,0,0
supported,1,0
championship,0,1
mission,0,1
executive,1,1
america,0,0
soldiers,0,0
responsible,1,0
wear,0,0
looked,0,0
nose,0,1
location,0,1
camp,0,1
stars,0,0
male,1,1
lines,0,0
novel,1,1
pieces,0,0
chinese,1,0
material,0,1
ancient,1,0
response,0,1
apple,0,1
dance,0,1
management,0,1
records,0,0
graduated,1,0
lack,0,0
travel,0,1
husband,0,1
juice,0,1
wrong,1,0
boat,0,1
thus,0,0
risk,0,1
angeles,0,0
hour,0,1
score,0,1
al,0,0
reading,0,0
growth,0,1
newspaper,0,1
tracks,0,0
heard,0,0
pass,0,1
grade,0,1
sleep,0,0
couple,0,1
safe,1,1
nature,0,1
page,0,1
speed,0,1
gives,0,0
humans,0,0
dead,0,0
spread,0,1
lake,0,1
deep,1,0
foot,0,1
view,0,1
sales,0,0
provides,0,0
effort,0,1
union,0,1
protect,0,0
railway,0,1
birds,0,0
numerous,0,0
administration,0,1
competed,0,0
wall,0,1
ocean,0,1
offer,0,1
la,0,0
talking,1,0
leaves,0,0
sign,0,1
winter,0,1
marriage,0,1
recording,0,1
join,0,0
pull,0,0
skills,0,0
calls,0,0
extra,1,0
focus,0,1
variety,0,1
san,0,0
edition,0,1
carried,0,0
laura,0,0
serve,0,0
initially,0,0
careful,1,0
quality,1,1
pressure,0,1
mainly,0,0
positive,1,0
terms,0,0
separate,1,0
ability,0,1
financial,1,0
tropical,1,0
pictures,0,0
feature,0,1
seasons,0,0
congress,0,1
russia,0,1
attacks,0,0
review,0,1
tells,0,0
holding,0,0
operated,0,0
characters,0,0
homes,0,0
gun,0,1
forest,0,1
rural,1,0
equipment,0,1
status,0,1
remain,0,0
winner,0,1
florida,0,0
farmers,0,0
fix,0,1
violence,0,1
younger,0,0
brain,0,1
broken,1,0
carry,0,0
projects,0,0
chicago,0,0
claimed,0,0
alone,0,0
eggs,0,0
houses,0,0
press,0,1
block,0,1
standard,1,0
dropped,0,0
fit,0,1
square,1,1
musical,1,0
plane,0,1
catch,0,0
cancer,0,1
specific,1,0
tower,0,1
environment,0,1
units,0,0
bought,0,0
fans,0,0
produce,0,1
climate,0,1
baseball,0,1
forward,0,0
dry,1,0
save,0,0
mama,0,0
chance,0,1
yep,0,0
politician,0,1
flight,0,1
cross,0,1
learned,1,0
editor,0,1
serious,1,0
agreed,0,0
appears,0,0
communities,0,0
stuff,0,1
historic,1,0
follow,0,0
sense,0,1
birthday,0,1
approximately,0,0
prison,0,1
fellow,1,1
wing,0,1
broke,1,0
province,0,1
fly,0,1
fine,1,0
operation,0,1
rule,0,1
conference,0,1
revealed,1,0
source,0,1
effects,0,0
putting,0,0
toward,0,0
subject,0,1
step,0,1
william,0,0
managed,1,0
complex,1,1
kitty,0,1
approach,0,1
compared,0,0
unit,0,1
proposed,1,0
teaching,0,0
businesses,0,0
helps,0,0
knew,0,0
spot,0,1
eye,0,1
presented,1,0
meaning,0,1
acquired,1,0
authorities,0,0
african,1,0
producer,0,1
cultural,1,0
sell,0,0
decades,0,0
supposed,1,0
touch,0,1
happen,0,0
planned,1,0
owner,0,1
mixed,1,0
simply,0,0
potential,1,1
destroyed,1,0
costs,0,0
twice,0,0
sitting,0,0
arms,0,0
candidate,0,1
immediately,0,0
hundreds,0,0
voice,0,1
founder,0,1
trip,0,1
committee,0,1
doctor,0,1
weather,0,1
conducted,0,0
forms,0,0
easy,1,0
biggest,0,0
taught,0,0
damage,0,1
stations,0,0
spring,0,1
digital,1,0
mark,0,1
offers,0,0
quite,0,0
issued,0,0
remaining,1,0
camera,0,1
cells,0,0
caught,0,0
dangerous,1,0
helping,0,0
historical,1,0
agreement,0,1
situation,0,1
double,0,0
beach,0,1
sarah,0,0
physical,1,0
activity,0,1
flying,1,0
tape,0,1
host,0,1
subsequently,0,0
estimated,1,0
appear,0,0
bank,0,1
ships,0,0
sites,0,0
develop,0,0
highly,0,0
stopped,0,0
blocks,0,0
scene,0,1
promoted,1,0
directly,0,0
standing,1,0
search,0,1
spend,0,0
snow,0,1
participated,0,0
stores,0,0
label,0,1
chart,0,1
types,0,0
attempt,0,1
appearances,0,0
driving,1,0
consists,0,0
environmental,1,0
broadcast,0,1
begin,0,0
cast,0,1
onto,0,0
firm,0,1
fields,0,0
silver,1,1
losing,1,0
straight,1,0
stone,0,1
assistant,0,1
regional,1,0
generation,0,1
reports,0,0
centre,0,1
visitors,0,0
impact,0,1
wild,1,0
seems,0,0
continues,0,0
receive,0,0
removed,1,0
individuals,0,0
letters,0,0
mayor,0,1
sing,0,0
composed,1,0
weapons,0,0
sweetie,0,1
organized,1,0
value,0,1
minister,0,1
teeth,0,0
questions,0,0
improve,0,0
multiple,0,0
lady,0,1
buried,1,0
distance,0,1
declared,1,0
parish,0,1
critics,0,0
metal,1,1
silly,1,0
forests,0,0
scientific,1,0
glass,0,1
sun,0,1
meant,0,0
speech,0,1
except,0,0
prior,1,0
defense,0,1
titled,1,0
weight,0,1
elections,0,0
crime,0,1
sides,0,0
theory,0,1
threatened,1,0
crew,0,0
flowers,0,0
wearing,0,0
monday,0,0
command,0,1
ordered,1,0
selling,0,0
ideas,0,0
africa,0,1
happens,0,0
article,0,1
greater,0,0
direct,1,0
yards,0,0
kill,0,1
drug,0,1
coffee,0,1
product,0,1
actor,0,1
tiny,1,0
cookie,0,1
rise,0,0
meat,0,1
governor,0,1
direction,0,1
organizations,0,0
primarily,0,0
beyond,0,0
income,0,1
finding,0,1
internet,0,1
arrested,0,0
influence,0,1
leadership,0,1
rich,1,0
prevent,0,0
valley,0,1
texas,0,0
defeat,0,1
officially,0,0
rare,1,0
interview,0,1
bottom,0,1
follows,0,0
guy,0,1
becomes,0,0
window,0,1
referred,0,0
lunch,0,1
injury,0,1
sport,0,1
academic,1,0
extended,1,0
tuesday,0,0
difference,0,1
elements,0,0
serves,0,0
raise,0,1
constructed,1,0
allows,0,0
villages,0,0
bye,0,0
planet,0,1
thinking,1,0
patients,0,0
latter,0,0
transferred,0,0
secret,1,1
mexico,0,1
funding,0,1
tail,0,1
widely,0,0
trouble,0,1
ring,0,1
theme,0,1
parks,0,0
trial,0,1
simple,1,0
inspired,1,0
featuring,0,0
john,0,0
daily,1,0
critical,1,0
soccer,0,1
opportunity,0,1
changing,1,0
feed,0,1
send,0,0
beautiful,1,0
medicine,0,1
bag,0,1
divided,1,0
airport,0,1
bunny,0,1
owners,0,0
shooting,0,0
districts,0,0
bigger,0,0
wind,0,1
trains,0,0
powerful,1,0
judge,0,1
statement,0,1
completely,0,0
account,0,1
prize,0,1
captured,1,0
focused,1,0
poverty,0,1
blood,0,1
chairman,0,1
fought,0,0
assigned,1,0
customers,0,0
breakfast,0,1
machine,0,1
suffered,1,0
duck,0,1
suggested,1,0
marine,1,0
traffic,0,1
surname,0,1
shoes,0,0
scale,0,1
largely,0,0
wood,0,1
necessary,1,0
dedicated,1,0
recognized,1,0
favorite,1,0
quarter,0,1
footballer,0,1
adopted,1,0
foundation,0,1
price,0,1
wednesday,0,0
accepted,1,0
justice,0,1
calling,0,0
clubs,0,0
unique,1,0
ross,0,0
wildlife,0,1
scoring,0,0
citizens,0,0
purchased,0,0
fruit,0,1
guitar,0,1
confirmed,1,0
guess,0,1
challenge,0,1
alongside,0,0
begins,0,0
mass,0,1
standards,0,0
lies,0,0
reasons,0,0
initial,1,1
estate,0,1
adam,0,0
creating,0,0
prominent,1,0
economy,0,1
minor,1,0
conflict,0,1
newly,0,0
choice,0,1
reviews,0,0
finds,0,0
branch,0,1
identified,1,0
nominated,1,0
swimming,0,0
providing,0,0
interested,1,0
connected,1,0
materials,0,0
tests,0,0
toy,0,1
acting,1,0
starts,0,0
facilities,0,0
content,0,1
heat,0,1
syria,0,0
typically,0,0
upper,1,0
copies,0,0
supply,0,1
tall,1,0
hopes,0,0
formerly,0,0
tax,0,1
message,0,1
zoo,0,1
awards,0,0
mind,0,1
gained,0,0
jump,0,1
singles,0,0
actions,0,0
purpose,0,1
cow,0,1
seem,0,0
resources,0,0
holds,0,0
clothes,0,0
perhaps,0,0
pre,0,0
faced,0,0
worth,0,0
walking,0,0
collected,1,0
champion,0,1
housing,0,1
occurred,0,0
storm,0,1
sex,0,1
apart,0,0
vehicles,0,0
software,0,1
doctors,0,0
protection,0,1
leg,0,1
engineering,0,0
guns,0,0
spending,0,0
arts,0,0
basis,0,1
channel,0,1
represent,0,0
advanced,1,0
moth,0,1
presence,0,1
missing,1,0
campus,0,1
avoid,0,0
fewer,0,0
thinks,0,0
shape,0,1
sick,1,0
count,0,1
journal,0,1
figures,0,0
captain,0,1
analysis,0,1
peace,0,1
capacity,0,1
claims,0,0
ranked,1,0
master,0,1
killing,1,0
drama,0,1
knows,0,0
teach,0,0
reduced,1,0
anyone,0,0
restaurant,0,1
adults,0,0
math,0,1
hill,0,1
mom,0,1
behavior,0,1
intended,1,0
labor,0,1
brothers,0,0
developing,0,0
stuck,1,0
paintings,0,0
cheese,0,1
scientist,0,1
knowledge,0,1
returning,0,0
demand,0,1
split,1,1
healthy,1,0
bears,0,0
festival,0,1
republican,0,1
era,0,1
testing,0,0
listen,0,0
combined,1,0
albums,0,0
visited,1,0
nations,0,0
march,0,1
vice,0,0
freedom,0,1
allowing,0,0
employees,0,0
refused,0,0
egg,0,1
honor,0,1
cool,1,0
chicken,0,1
watching,0,0
hall,0,1
arm,0,1
expert,0,1
fully,0,0
showing,0,0
drop,0,1
image,0,1
brand,0,1
athletes,0,0
fishing,0,0
mid,0,0
trained,0,0
grown,1,0
hosted,1,0
screen,0,1
filled,0,0
millions,0,0
approved,0,0
basic,1,0
renamed,1,0
investigation,0,1
noise,0,1
walls,0,0
uhoh,0,0
neighborhood,0,1
english,0,0
partner,0,1
dinner,0,1
launch,0,1
whoa,0,0
card,0,1
somebody,0,0
platform,0,1
birth,0,1
tools,0,0
protests,0,0
expensive,1,0
contact,0,1
chosen,1,0
chemical,1,1
reduce,0,0
graduate,0,1
mentioned,0,0
principal,1,1
aid,0,1
operating,1,0
painted,0,0
solo,1,1
ending,0,1
sugar,0,1
signs,0,0
shirt,0,1
semi,0,1
controlled,1,0
likes,0,0
ye,0,0
secretary,0,1
worldwide,1,0
easily,0,0
notable,1,0
nuclear,1,0
concert,0,1
moon,0,1
whoops,0,0
audience,0,1
parties,0,0
institute,0,1
beat,0,1
treated,1,0
abe,0,0
seats,0,0
roof,0,1
sorry,0,0
slow,1,0
expanded,1,0
van,0,1
hockey,0,1
planning,0,0
driver,0,1
immigrants,0,0
normal,0,0
educated,1,0
hotel,0,1
pilot,1,1
setting,0,1
sources,0,0
therefore,0,0
educational,1,0
politics,0,0
refugees,0,0
increasing,1,0
positions,0,0
languages,0,0
subtropical,1,0
views,0,0
method,0,1
cell,0,1
opposition,0,1
colors,0,0
sets,0,0
pair,0,1
warm,1,0
relations,0,0
drones,0,0
survey,0,1
existing,1,0
everybody,0,0
injured,1,0
urban,1,0
performances,0,0
explained,0,0
ends,0,0
measure,0,1
turning,0,0
die,0,0
bodies,0,0
emergency,0,1
picked,0,0
relatively,0,0
causes,0,0
receiving,0,0
claim,0,1
inhabitants,0,0
perform,0,0
items,0,0
covers,0,0
stood,0,0
spoke,0,0
designated,1,0
accident,0,1
commonly,0,0
nomi,0,0
shop,0,1
decade,0,1
fear,0,1
roles,0,0
shared,1,0
horses,0,0
naima,0,0
regions,0,0
speaking,1,0
singing,0,0
episodes,0,0
edge,0,1
users,0,0
turns,0,0
territory,0,1
invited,0,0
memory,0,1
pink,1,0
streets,0,0
waters,0,0
bite,0,1
vehicle,0,1
titles,0,0
bay,0,1
existence,0,1
peter,0,0
settlement,0,1
literature,0,1
surrounding,0,1
require,0,0
target,0,1
rain,0,1
sounds,0,0
wet,1,0
budget,0,1
legs,0,0
models,0,0
applied,1,0
sons,0,0
facility,0,1
representing,0,0
unknown,1,0
studying,0,0
address,0,1
kiss,0,1
rocks,0,0
dollars,0,0
industrial,1,0
tired,1,0
murder,0,1
resulted,0,0
drawing,0,1
closely,0,0
lose,0,0
bowl,0,1
comedy,0,1
circle,0,1
kitchen,0,1
religion,0,1
armed,1,0
engineer,0,1
thanks,0,0
decide,0,0
adult,1,0
images,0,0
factory,0,1
situated,0,0
headquarters,0,1
courses,0,0
paul,0,0
effective,1,0
bar,0,1
supporters,0,0
ebola,0,0
concept,0,1
promote,0,0
seconds,0,0
connection,0,1
obtained,0,0
background,0,1
format,0,1
carrying,0,0
islamic,1,0
enter,0,0
escape,0,1
aired,1,0
corner,0,1
unable,1,0
rates,0,0
tries,0,0
attacked,1,0
ban,0,1
respectively,0,0
easier,0,0
agent,0,1
marked,1,0
waiting,0,0
michael,0,0
lion,0,1
friday,0,0
coal,0,1
oldest,0,0
performing,1,0
hole,0,1
creation,0,1
accused,0,0
alex,0,0
lawyer,0,1
presidential,1,0
exchange,0,1
determined,1,0
granted,1,0
voted,1,0
bringing,0,0
elephant,0,1
concerns,0,0
passing,1,0
determine,0,0
squad,0,1
dress,0,1
argued,0,0
gay,1,0
guys,0,0
heads,0,0
videos,0,0
speak,0,0
worried,1,0
dirty,1,0
debate,0,1
code,0,1
threat,0,1
ceremony,0,1
highway,0,1
commissioned,1,0
crisis,0,1
text,0,1
actress,0,1
pro,0,1
tradition,0,1
notes,0,0
whales,0,0
shaped,1,0
sees,0,0
passengers,0,0
devices,0,0
sunday,0,1
flow,0,1
discovery,0,1
airplane,0,1
seeing,0,0
ultimately,0,0
promotion,0,1
hunting,0,0
causing,0,0
qualified,1,0
leads,0,0
believes,0,0
answer,0,1
hired,0,0
moment,0,1
criminal,1,1
votes,0,0
stands,0,0
worse,0,0
soil,0,1
documents,0,0
br,0,0
articles,0,0
reality,0,1
exactly,0,0
attend,0,0
